0	-5	0	-6	0	-4	0	-3	0	-5	0	-3	0	-4.5	0	-7.5	0	-4.5	0	-6	0	-10	0	-6
0.80566	-6	0.80566	-4	0.80566	-2	0.80566	-2	0.80566	0	0.80566	-5	0.80566	-3	0.80566	0	0.80566	-7.5	0.80566	-4	0.80566	0	0.80566	-10
1.6113	-5	1.6113	-4	1.6113	-4	1.6113	-1	1.6113	-1	1.6113	-3	1.6113	-1.5	1.6113	-1.5	1.6113	-4.5	1.6113	-2	1.6113	-2	1.6113	-6
2.417	-4	2.417	-3	2.417	-3	2.417	0	2.417	-4	2.417	-3	2.417	0	2.417	-6	2.417	-4.5	2.417	0	2.417	-8	2.417	-6
3.2227	-1	3.2227	-4	3.2227	-6	3.2227	2	3.2227	-2	3.2227	-2	3.2227	3	3.2227	-3	3.2227	-3	3.2227	4	3.2227	-4	3.2227	-4
4.0283	-4	4.0283	-3	4.0283	-3	4.0283	1	4.0283	-4	4.0283	0	4.0283	1.5	4.0283	-6	4.0283	0	4.0283	2	4.0283	-8	4.0283	0
4.834	-5	4.834	-3	4.834	-2	4.834	1	4.834	0	4.834	-3	4.834	1.5	4.834	0	4.834	-4.5	4.834	2	4.834	0	4.834	-6
5.6396	-3	5.6396	-3	5.6396	-4	5.6396	0	5.6396	-1	5.6396	-8	5.6396	0	5.6396	-1.5	5.6396	-12	5.6396	0	5.6396	-2	5.6396	-16
6.4453	-5	6.4453	-2	6.4453	-3	6.4453	4	6.4453	-1	6.4453	-2	6.4453	6	6.4453	-1.5	6.4453	-3	6.4453	8	6.4453	-2	6.4453	-4
7.251	-4	7.251	-3	7.251	-3	7.251	1	7.251	1	7.251	-2	7.251	1.5	7.251	1.5	7.251	-3	7.251	2	7.251	2	7.251	-4
8.0566	-3	8.0566	1	8.0566	-1	8.0566	-1	8.0566	-7	8.0566	-2	8.0566	-1.5	8.0566	-10.5	8.0566	-3	8.0566	-2	8.0566	-14	8.0566	-4
8.8623	0	8.8623	-2	8.8623	-3	8.8623	-1	8.8623	0	8.8623	-2	8.8623	-1.5	8.8623	0	8.8623	-3	8.8623	-2	8.8623	0	8.8623	-4
9.668	-4	9.668	-9	9.668	0	9.668	1	9.668	-2	9.668	-1	9.668	1.5	9.668	-3	9.668	-1.5	9.668	2	9.668	-4	9.668	-2
10.474	-4	10.474	-1	10.474	-4	10.474	1	10.474	0	10.474	3	10.474	1.5	10.474	0	10.474	4.5	10.474	2	10.474	0	10.474	6
11.279	0	11.279	-2	11.279	-4	11.279	0	11.279	1	11.279	1	11.279	0	11.279	1.5	11.279	1.5	11.279	0	11.279	2	11.279	2
12.085	-5	12.085	-2	12.085	-1	12.085	2	12.085	1	12.085	-1	12.085	3	12.085	1.5	12.085	-1.5	12.085	4	12.085	2	12.085	-2
12.891	-2	12.891	-3	12.891	2	12.891	-1	12.891	4	12.891	0	12.891	-1.5	12.891	6	12.891	0	12.891	-2	12.891	8	12.891	0
13.696	-1	13.696	-2	13.696	-1	13.696	6	13.696	1	13.696	0	13.696	9	13.696	1.5	13.696	0	13.696	12	13.696	2	13.696	0
14.502	-1	14.502	3	14.502	-2	14.502	0	14.502	2	14.502	3	14.502	0	14.502	3	14.502	4.5	14.502	0	14.502	4	14.502	6
15.308	0	15.308	0	15.308	-1	15.308	2	15.308	1	15.308	2	15.308	3	15.308	1.5	15.308	3	15.308	4	15.308	2	15.308	4
16.113	-3	16.113	0	16.113	2	16.113	2	16.113	2	16.113	4	16.113	3	16.113	3	16.113	6	16.113	4	16.113	4	16.113	8
16.919	1	16.919	-2	16.919	5	16.919	2	16.919	2	16.919	1	16.919	3	16.919	3	16.919	1.5	16.919	4	16.919	4	16.919	2
17.725	0	17.725	0	17.725	1	17.725	3	17.725	1	17.725	2	17.725	4.5	17.725	1.5	17.725	3	17.725	6	17.725	2	17.725	4
18.53	-1	18.53	1	18.53	0	18.53	3	18.53	4	18.53	3	18.53	4.5	18.53	6	18.53	4.5	18.53	6	18.53	8	18.53	6
19.336	1	19.336	2	19.336	-1	19.336	3	19.336	3	19.336	4	19.336	4.5	19.336	4.5	19.336	6	19.336	6	19.336	6	19.336	8
20.142	1	20.142	1	20.142	0	20.142	4	20.142	3	20.142	3	20.142	6	20.142	4.5	20.142	4.5	20.142	8	20.142	6	20.142	6
20.947	0	20.947	2	20.947	1	20.947	5	20.947	3	20.947	3	20.947	7.5	20.947	4.5	20.947	4.5	20.947	10	20.947	6	20.947	6
21.753	-1	21.753	2	21.753	1	21.753	4	21.753	3	21.753	2	21.753	6	21.753	4.5	21.753	3	21.753	8	21.753	6	21.753	4
22.559	-1	22.559	-3	22.559	-1	22.559	6	22.559	3	22.559	3	22.559	9	22.559	4.5	22.559	4.5	22.559	12	22.559	6	22.559	6
23.364	-2	23.364	1	23.364	0	23.364	4	23.364	-1	23.364	-5	23.364	6	23.364	-1.5	23.364	-7.5	23.364	8	23.364	-2	23.364	-10
24.17	1	24.17	3	24.17	1	24.17	6	24.17	-1	24.17	2	24.17	9	24.17	-1.5	24.17	3	24.17	12	24.17	-2	24.17	4
24.976	-1	24.976	3	24.976	1	24.976	5	24.976	4	24.976	3	24.976	7.5	24.976	6	24.976	4.5	24.976	10	24.976	8	24.976	6
25.781	3	25.781	3	25.781	3	25.781	7	25.781	2	25.781	2	25.781	10.5	25.781	3	25.781	3	25.781	14	25.781	4	25.781	4
26.587	2	26.587	2	26.587	2	26.587	5	26.587	3	26.587	-6	26.587	7.5	26.587	4.5	26.587	-9	26.587	10	26.587	6	26.587	-12
