0.000000	53	-99	152
-3.000000	81	-125	206
-6.000000	77	-94	171
-9.000000	88	-101	189
-12.000000	67	-59	126
-15.000000	116	-98	214
-18.000000	104	-97	201
-21.000000	122	-79	201
-24.000000	126	-85	211
-27.000000	99	-89	188
-30.000000	86	-80	166
-33.000000	114	-105	219
-36.000000	118	-82	200
-39.000000	116	-97	213
-42.000000	130	-82	212
-45.000000	128	-100	228
-48.000000	145	-90	235
-51.000000	132	-121	253
-54.000000	130	-93	223
-57.000000	125	-71	196
-60.000000	113	-102	215
-63.000000	18	-61	79
-66.000000	16	-50	66
-69.000000	21	-47	68
-72.000000	54	-32	86
-75.000000	12	-39	51
-78.000000	119	-119	238
-81.000000	102	-67	169
-84.000000	95	-94	189
-87.000000	116	-108	224
-90.000000	110	-84	194
-93.000000	102	-78	180
-96.000000	92	-103	195
-99.000000	90	-101	191
-102.000000	82	-110	192
-105.000000	76	-119	195
-108.000000	84	-136	220
-111.000000	72	-90	162
-114.000000	67	-84	151
-117.000000	60	-122	182
-120.000000	66	-97	163
-123.000000	71	-100	171
-126.000000	62	-109	171
-129.000000	59	-93	152
-132.000000	42	-92	134
-135.000000	41	-101	142
-138.000000	42	-129	171
-141.000000	64	-110	174
-144.000000	36	-101	137
-147.000000	36	-103	139
-150.000000	38	-113	151
-153.000000	40	-106	146
-156.000000	31	-94	125
-159.000000	37	-103	140
-162.000000	29	-104	133
-165.000000	29	-99	128
-168.000000	24	-98	122
-171.000000	25	-114	139
-174.000000	20	-106	126
-177.000000	16	-115	131
-180.000000	13	-90	103
-183.000000	15	-91	106
-186.000000	32	-119	151
-189.000000	-1	-86	85
-192.000000	26	-104	130
-195.000000	16	-87	103
-198.000000	18	-97	115
-201.000000	-2	-110	108
-204.000000	8	-111	119
-207.000000	-2	-90	88
-210.000000	13	-98	111
-213.000000	-1	-107	106
-216.000000	-6	-89	83
-219.000000	15	-90	105
-222.000000	-2	-81	79
-225.000000	8	-84	92
-228.000000	1	-90	91
-231.000000	5	-83	88
-234.000000	-3	-95	92
-237.000000	-11	-64	53
-240.000000	-3	-85	82
-243.000000	5	-75	80
-246.000000	-7	-60	53
-249.000000	3	-73	76
-252.000000	0	-68	68
-255.000000	-22	-77	55
-258.000000	-16	-50	34
-261.000000	-22	-81	59
-264.000000	-20	-61	41
-267.000000	-11	-71	60
-270.000000	-6	-58	52
-273.000000	-10	-39	29
-276.000000	6	-77	83
-279.000000	-15	-52	37
-282.000000	-12	-66	54
-285.000000	-19	-65	46
-288.000000	-33	-56	23
-291.000000	-18	-61	43
-294.000000	-12	-34	22
-297.000000	-30	-73	43
-300.000000	-22	-49	27
-303.000000	-19	-39	20
-306.000000	-42	-56	14
-309.000000	-5	-55	50
-312.000000	-14	-38	24
-315.000000	-30	-45	15
-318.000000	-19	-61	42
-321.000000	-17	-38	21
-324.000000	-13	-41	28
-327.000000	-7	-35	28
-330.000000	-24	-42	18
-333.000000	-15	-42	27
-336.000000	-17	-26	9
-339.000000	-40	-28	12
-342.000000	-30	-32	2
-345.000000	-46	-28	18
-348.000000	-30	-32	2
-351.000000	-38	-37	1
-354.000000	-39	-27	12
-357.000000	-30	-18	12
-360.000000	-32	-12	20
-363.000000	-42	-15	27
-366.000000	-51	-19	32
-369.000000	-60	-15	45
-372.000000	-60	-3	57
-375.000000	-51	-4	47
-378.000000	-46	11	57
-381.000000	-51	6	57
-384.000000	-47	-6	41
-387.000000	-63	10	73
-390.000000	-64	8	72
-393.000000	-65	10	75
-396.000000	-52	24	76
-399.000000	-78	30	108
-402.000000	-59	15	74
-405.000000	-52	30	82
-408.000000	-54	32	86
-411.000000	-67	29	96
-414.000000	-62	42	104
-417.000000	-60	42	102
-420.000000	-46	48	94
-423.000000	-76	60	136
-426.000000	-81	58	139
-429.000000	-73	62	135
-432.000000	-79	75	154
-435.000000	-74	62	136
-438.000000	-84	42	126
-441.000000	-71	89	160
-444.000000	-60	50	110
-447.000000	-71	75	146
-450.000000	-68	67	135
-453.000000	-103	78	181
-456.000000	-85	76	161
-459.000000	-71	84	155
-462.000000	-81	85	166
-465.000000	-83	76	159
-468.000000	-76	73	149
-471.000000	-93	84	177
-474.000000	-77	90	167
