0	-5	0	-6	0	-4	0	-3	0	-5	0	-3
0.80566	-6	0.80566	-4	0.80566	-2	0.80566	-2	0.80566	0	0.80566	-5
1.6113	-5	1.6113	-4	1.6113	-4	1.6113	-1	1.6113	-1	1.6113	-3
2.417	-4	2.417	-3	2.417	-3	2.417	0	2.417	-4	2.417	-3
3.2227	-1	3.2227	-4	3.2227	-6	3.2227	2	3.2227	-2	3.2227	-2
4.0283	-4	4.0283	-3	4.0283	-3	4.0283	1	4.0283	-4	4.0283	0
4.834	-5	4.834	-3	4.834	-2	4.834	1	4.834	0	4.834	-3
5.6396	-3	5.6396	-3	5.6396	-4	5.6396	0	5.6396	-1	5.6396	-8
6.4453	-5	6.4453	-2	6.4453	-3	6.4453	4	6.4453	-1	6.4453	-2
7.251	-4	7.251	-3	7.251	-3	7.251	1	7.251	1	7.251	-2
8.0566	-3	8.0566	1	8.0566	-1	8.0566	-1	8.0566	-7	8.0566	-2
8.8623	0	8.8623	-2	8.8623	-3	8.8623	-1	8.8623	0	8.8623	-2
9.668	-4	9.668	-9	9.668	0	9.668	1	9.668	-2	9.668	-1
10.474	-4	10.474	-1	10.474	-4	10.474	1	10.474	0	10.474	3
11.279	0	11.279	-2	11.279	-4	11.279	0	11.279	1	11.279	1
12.085	-5	12.085	-2	12.085	-1	12.085	2	12.085	1	12.085	-1
12.891	-2	12.891	-3	12.891	2	12.891	-1	12.891	4	12.891	0
13.696	-1	13.696	-2	13.696	-1	13.696	6	13.696	1	13.696	0
14.502	-1	14.502	3	14.502	-2	14.502	0	14.502	2	14.502	3
15.308	0	15.308	0	15.308	-1	15.308	2	15.308	1	15.308	2
16.113	-3	16.113	0	16.113	2	16.113	2	16.113	2	16.113	4
16.919	1	16.919	-2	16.919	5	16.919	2	16.919	2	16.919	1
17.725	0	17.725	0	17.725	1	17.725	3	17.725	1	17.725	2
18.53	-1	18.53	1	18.53	0	18.53	3	18.53	4	18.53	3
19.336	1	19.336	2	19.336	-1	19.336	3	19.336	3	19.336	4
20.142	1	20.142	1	20.142	0	20.142	4	20.142	3	20.142	3
20.947	0	20.947	2	20.947	1	20.947	5	20.947	3	20.947	3
21.753	-1	21.753	2	21.753	1	21.753	4	21.753	3	21.753	2
22.559	-1	22.559	-3	22.559	-1	22.559	6	22.559	3	22.559	3
23.364	-2	23.364	1	23.364	0	23.364	4	23.364	-1	23.364	-5
24.17	1	24.17	3	24.17	1	24.17	6	24.17	-1	24.17	2
24.976	-1	24.976	3	24.976	1	24.976	5	24.976	4	24.976	3
25.781	3	25.781	3	25.781	3	25.781	7	25.781	2	25.781	2
26.587	2	26.587	2	26.587	2	26.587	5	26.587	3	26.587	-6
27.393	2	27.393	1	27.393	3	27.393	5	27.393	3	27.393	3
28.198	2	28.198	2	28.198	5	28.198	6	28.198	3	28.198	4
29.004	4	29.004	4	29.004	1	29.004	5	29.004	11	29.004	4
29.81	3	29.81	0	29.81	1	29.81	7	29.81	4	29.81	4
30.615	2	30.615	1	30.615	3	30.615	6	30.615	5	30.615	3
31.421	1	31.421	2	31.421	2	31.421	5	31.421	4	31.421	5
32.227	3	32.227	0	32.227	2	32.227	6	32.227	3	32.227	5
33.032	1	33.032	3	33.032	4	33.032	4	33.032	4	33.032	6
33.838	3	33.838	2	33.838	1	33.838	5	33.838	4	33.838	5
34.644	3	34.644	3	34.644	2	34.644	6	34.644	7	34.644	4
35.449	-4	35.449	2	35.449	3	35.449	5	35.449	7	35.449	5
36.255	3	36.255	2	36.255	2	36.255	4	36.255	6	36.255	3
37.061	3	37.061	3	37.061	3	37.061	6	37.061	5	37.061	5
